,Unnamed: 0,school,sex,age,address,famsize,pstatus,medu,fedu,mjob,fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,Grade,Passed
302,302,GP,F,Minor,U,GT3,T,Higher,Middle,other,other,reputation,mother,15-30min,5-10h,No,False,True,True,False,True,True,True,False,Excellent,Normal,Normal,No,No,Normal,0,13.0,Failed
58,58,GP,M,Minor,U,LE3,T,Primary,Middle,other,at_home,home,father,<15min,2-5h,No,True,True,False,True,True,True,True,False,Excellent,Normal,Low,No,No,Good,2,9.0,Passed
92,92,GP,F,Minor,U,LE3,T,Secondary,Primary,other,other,home,father,<15min,2-5h,No,True,True,False,False,True,True,False,False,Normal,Normal,Normal,Moderately,Moderately,Bad,4,6.0,Passed
268,268,GP,M,Major,U,GT3,T,Higher,Middle,health,other,reputation,father,<15min,2-5h,No,False,True,True,True,True,True,True,True,Excellent,High,High,No,Moderately,Good,10,9.0,Passed
159,159,GP,M,Minor,U,GT3,T,Secondary,Secondary,other,services,course,father,<15min,2-5h,1-2,False,True,True,False,True,True,True,True,Excellent,High,High,A lot,A lot,Good,4,11.0,Failed
227,227,GP,M,Minor,U,LE3,T,Middle,Secondary,services,services,reputation,father,<15min,2-5h,No,False,True,True,False,False,True,True,False,Excellent,Normal,Normal,No,Moderately,Normal,2,11.0,Failed
243,243,GP,M,Minor,U,GT3,T,Higher,Higher,services,services,course,mother,<15min,<2h,No,False,False,False,True,True,True,True,False,Excellent,Normal,Low,No,Moderately,Good,0,12.0,Failed
212,212,GP,F,Minor,U,GT3,A,Middle,Middle,other,other,reputation,mother,<15min,2-5h,No,True,True,True,False,True,True,True,False,Normal,Normal,High,No,No,Good,0,13.0,Failed
55,55,GP,F,Minor,U,GT3,A,Middle,Primary,other,other,other,mother,<15min,2-5h,No,False,False,True,True,True,True,True,True,Excellent,Normal,High,No,No,Bad,8,9.0,Passed
368,368,MS,F,Major,U,GT3,T,Middle,Secondary,at_home,services,course,father,15-30min,<2h,No,False,True,True,False,True,True,True,True,Excellent,Low,Normal,No,Moderately,Good,0,10.0,Failed
0,0,GP,F,Major,U,GT3,A,Higher,Higher,at_home,teacher,course,mother,15-30min,2-5h,No,True,False,False,False,True,True,False,False,Excellent,Normal,High,No,No,Normal,6,5.0,Passed
25,25,GP,F,Minor,U,GT3,T,Middle,Middle,services,services,home,mother,<15min,<2h,1-2,False,True,True,False,False,True,True,False,Bad,Low,Low,No,Moderately,Good,14,7.0,Passed
284,284,GP,F,Minor,U,GT3,T,Middle,Middle,other,other,course,mother,<15min,2-5h,No,False,True,False,False,False,True,True,False,Excellent,High,High,No,Moderately,Good,4,10.0,Failed
324,324,GP,F,Minor,U,LE3,T,None,Middle,at_home,at_home,home,father,15-30min,5-10h,No,False,False,False,False,True,True,True,False,Normal,Normal,Normal,Moderately,Moderately,Bad,0,15.0,Failed
322,322,GP,F,Minor,R,LE3,T,Middle,Middle,services,services,course,mother,<15min,5-10h,No,False,True,True,True,True,True,True,False,Normal,Normal,Low,Moderately,Moderately,Normal,3,11.0,Failed
109,109,GP,F,Minor,U,LE3,T,Higher,Higher,health,health,other,mother,<15min,5-10h,No,False,True,True,True,True,True,True,True,Excellent,High,High,No,No,Good,4,15.0,Failed
105,105,GP,F,Minor,U,GT3,A,Secondary,Secondary,other,health,reputation,father,<15min,>10h,No,True,False,False,False,True,True,False,False,Excellent,Normal,Normal,No,No,Good,10,10.0,Failed
242,242,GP,M,Minor,U,LE3,T,Higher,Secondary,teacher,other,course,mother,<15min,<2h,No,False,False,False,True,False,True,True,False,Excellent,High,High,No,No,Normal,0,2.0,Passed
314,314,GP,F,Major,U,GT3,T,Primary,Primary,at_home,health,home,other,<15min,5-10h,1-2,False,False,False,False,False,True,True,True,Excellent,Low,Low,No,No,Normal,14,13.0,Failed
73,73,GP,M,Minor,U,GT3,T,Secondary,Primary,other,other,reputation,mother,<15min,<2h,No,False,False,False,True,True,True,False,False,Excellent,Normal,Low,Moderately,Moderately,Good,2,12.0,Failed
267,267,GP,F,Major,R,GT3,T,Higher,Higher,teacher,other,reputation,mother,15-30min,2-5h,No,False,False,True,True,True,True,True,False,Excellent,Normal,High,Moderately,Moderately,Good,8,11.0,Failed
261,261,GP,M,Major,U,GT3,T,Higher,Secondary,teacher,other,course,mother,<15min,2-5h,No,False,True,True,False,False,True,True,False,Excellent,Normal,Low,No,No,Normal,2,8.0,Passed
335,335,GP,F,Minor,U,GT3,T,Secondary,Higher,services,other,course,mother,<15min,5-10h,No,False,False,False,False,True,True,True,False,Excellent,High,High,No,Moderately,Good,16,15.0,Failed
90,90,GP,F,Minor,U,GT3,T,Secondary,Secondary,other,other,home,mother,<15min,5-10h,No,False,True,True,False,True,True,True,True,Excellent,Normal,Normal,No,Moderately,Good,0,7.0,Passed
220,220,GP,F,Minor,R,GT3,T,Middle,Primary,at_home,services,reputation,mother,15-30min,2-5h,No,False,True,False,True,True,True,True,False,Excellent,Low,High,No,Moderately,Good,2,6.0,Passed
383,383,MS,M,Major,R,GT3,T,Primary,Primary,other,services,other,mother,15-30min,<2h,1-2,False,False,False,False,True,True,False,False,Excellent,Normal,Low,No,Moderately,Good,0,3.0,Passed
232,232,GP,M,Minor,U,GT3,T,Higher,Higher,teacher,teacher,reputation,mother,<15min,2-5h,No,True,True,False,True,True,True,True,True,Excellent,High,High,No,Moderately,Bad,14,9.0,Passed
70,70,GP,M,Minor,U,GT3,T,Secondary,Primary,other,other,reputation,father,15-30min,>10h,No,False,True,True,False,True,True,True,False,Excellent,Normal,Low,No,No,Good,0,14.0,Failed
172,172,GP,M,Minor,U,LE3,T,Higher,Higher,teacher,other,reputation,mother,<15min,2-5h,No,False,True,True,True,True,True,True,False,Excellent,High,High,No,Moderately,Good,0,11.0,Failed
2,2,GP,F,Minor,U,LE3,T,Primary,Primary,at_home,other,other,mother,<15min,2-5h,>3,True,False,True,False,True,True,True,False,Excellent,Normal,Low,Moderately,Moderately,Normal,10,8.0,Passed
215,215,GP,F,Minor,U,LE3,T,Secondary,Middle,other,other,reputation,mother,15-30min,2-5h,No,False,False,True,False,True,True,True,False,Excellent,High,High,No,Moderately,Bad,2,14.0,Failed
327,327,GP,M,Minor,R,GT3,T,Middle,Middle,services,other,course,mother,>1h,<2h,No,False,True,False,False,True,True,True,False,Excellent,High,High,A lot,A lot,Good,8,10.0,Failed
182,182,GP,F,Minor,U,GT3,T,Middle,Higher,services,services,reputation,father,<15min,2-5h,No,False,True,False,True,True,True,False,False,Excellent,High,Low,Moderately,Moderately,Good,0,16.0,Failed
184,184,GP,F,Minor,U,GT3,T,Secondary,Middle,other,other,reputation,mother,<15min,2-5h,No,False,True,True,False,True,True,True,False,Bad,Low,Low,No,Moderately,Bad,14,12.0,Failed
35,35,GP,F,Minor,U,GT3,T,Middle,Secondary,other,other,other,father,15-30min,<2h,No,False,True,False,True,True,True,False,False,Normal,High,Low,No,No,Good,0,7.0,Passed
100,100,GP,M,Minor,U,GT3,T,Higher,Higher,services,services,other,mother,<15min,<2h,No,True,True,True,True,True,True,True,False,Excellent,High,High,A lot,A lot,Good,14,6.0,Passed
307,307,GP,M,Major,U,GT3,T,Higher,Higher,teacher,services,reputation,other,15-30min,<2h,1-2,False,True,True,False,True,True,True,True,Excellent,Normal,High,No,No,Good,38,8.0,Passed
193,193,GP,M,Minor,R,GT3,T,Secondary,Secondary,services,services,reputation,mother,<15min,<2h,No,False,True,False,True,True,True,True,False,Excellent,Normal,Low,Moderately,A lot,Good,8,9.0,Passed
221,221,GP,F,Minor,U,GT3,T,Primary,Primary,at_home,other,reputation,mother,<15min,5-10h,1-2,False,True,False,True,True,True,False,True,Excellent,Normal,High,No,No,Good,0,3.0,Passed
122,122,GP,F,Minor,U,LE3,T,Middle,Higher,other,health,course,father,15-30min,2-5h,No,False,True,True,True,True,True,True,True,Excellent,Low,Low,No,Moderately,Good,2,13.0,Failed
295,295,GP,M,Minor,U,GT3,T,Secondary,Secondary,health,other,home,mother,<15min,<2h,No,False,True,True,False,True,True,True,False,Excellent,High,Normal,No,Moderately,Good,4,12.0,Failed
301,301,GP,M,Minor,U,LE3,T,Higher,Higher,other,teacher,home,father,15-30min,<2h,No,False,False,True,False,True,True,True,False,Excellent,Low,Low,Moderately,Moderately,Good,0,10.0,Failed
8,8,GP,M,Minor,U,LE3,A,Secondary,Middle,services,other,home,mother,<15min,2-5h,No,False,True,True,False,True,True,True,False,Excellent,Low,Low,No,No,Bad,0,17.0,Failed
375,375,MS,F,Major,R,GT3,T,Primary,Primary,other,other,home,mother,>1h,5-10h,No,False,False,False,False,True,True,True,False,Excellent,Normal,Low,No,Moderately,Good,2,8.0,Passed
29,29,GP,M,Minor,U,GT3,T,Higher,Higher,teacher,teacher,home,mother,<15min,2-5h,No,False,True,True,True,True,True,True,True,Excellent,High,High,A lot,A lot,Good,16,11.0,Failed
380,380,MS,M,Major,U,GT3,T,Higher,Higher,teacher,teacher,home,father,<15min,2-5h,No,False,False,True,True,False,True,True,False,Normal,Low,High,No,A lot,Bad,4,14.0,Failed
108,108,GP,M,Minor,R,GT3,T,Higher,Higher,other,other,home,father,>1h,>10h,No,False,True,True,True,True,True,True,True,Bad,Normal,High,Moderately,A lot,Bad,6,12.0,Failed
42,42,GP,M,Minor,U,GT3,T,Higher,Higher,services,teacher,course,father,<15min,2-5h,No,False,True,False,True,True,True,True,False,Excellent,Normal,Normal,No,No,Good,2,18.0,Failed
320,320,GP,F,Minor,U,GT3,A,Higher,Secondary,services,services,course,mother,<15min,2-5h,No,False,True,True,False,True,True,True,True,Excellent,Low,Low,No,Moderately,Good,23,13.0,Failed
94,94,GP,M,Minor,U,LE3,T,Middle,Middle,services,health,reputation,mother,<15min,>10h,No,False,True,False,True,True,True,True,False,Excellent,Normal,High,No,No,Good,6,12.0,Failed
3,3,GP,F,Minor,U,GT3,T,Higher,Middle,health,services,home,mother,<15min,5-10h,No,False,True,True,True,True,True,True,True,Normal,Low,Low,No,No,Good,2,14.0,Failed
386,386,MS,F,Major,R,GT3,T,Higher,Higher,teacher,at_home,reputation,mother,30min-1h,<2h,No,False,True,True,True,True,True,True,True,Excellent,High,Normal,Moderately,Moderately,Good,7,5.0,Passed
390,390,MS,M,Major,U,LE3,A,Middle,Middle,services,services,course,other,<15min,2-5h,1-2,False,True,True,False,True,True,False,False,Excellent,High,High,A lot,A lot,Good,11,9.0,Passed
294,294,GP,M,Major,R,LE3,T,Secondary,Middle,services,other,reputation,mother,15-30min,5-10h,No,False,True,True,True,True,True,True,False,Excellent,High,Low,No,No,Good,8,13.0,Failed
19,19,GP,M,Minor,U,LE3,T,Higher,Secondary,health,other,home,father,<15min,<2h,No,False,False,True,True,True,True,True,False,Normal,Low,Normal,No,Moderately,Good,4,9.0,Passed
130,130,GP,F,Minor,R,GT3,T,Secondary,Higher,services,teacher,course,father,15-30min,5-10h,1-2,False,True,False,False,True,True,True,True,Excellent,Low,Low,Moderately,Moderately,Good,0,4.0,Passed
64,64,GP,F,Minor,U,LE3,T,Higher,Secondary,services,services,reputation,father,<15min,2-5h,No,True,False,False,True,True,True,True,True,Excellent,High,High,Moderately,A lot,Bad,0,10.0,Failed
107,107,GP,M,Minor,U,GT3,T,Secondary,Secondary,services,other,home,father,<15min,5-10h,No,False,True,False,True,True,True,True,False,Excellent,Normal,Normal,No,No,Good,2,17.0,Failed
192,192,GP,M,Minor,U,GT3,T,Primary,Middle,at_home,services,other,other,15-30min,2-5h,No,False,False,True,True,False,True,True,False,Excellent,High,High,A lot,A lot,Good,12,7.0,Passed
305,305,GP,F,Major,U,GT3,T,Middle,Higher,services,at_home,reputation,other,<15min,2-5h,1-2,False,True,True,True,True,True,True,False,Excellent,High,Normal,No,No,Normal,8,12.0,Failed
210,210,GP,F,Major,U,GT3,T,Secondary,Secondary,other,other,reputation,other,<15min,>10h,No,False,True,True,True,True,True,True,False,Excellent,Normal,Normal,No,Moderately,Normal,10,8.0,Passed
228,228,GP,M,Major,U,LE3,T,Middle,Primary,at_home,other,course,mother,>1h,2-5h,No,True,True,True,True,True,True,True,True,Excellent,Normal,Low,A lot,A lot,Normal,14,9.0,Passed
296,296,GP,F,Major,U,GT3,T,Higher,Higher,health,other,reputation,other,15-30min,2-5h,No,False,True,True,True,True,True,True,False,Bad,Normal,High,Moderately,Moderately,Bad,0,6.0,Passed
381,381,MS,M,Major,R,GT3,T,Middle,Primary,other,other,other,mother,15-30min,<2h,No,False,False,False,True,False,True,True,True,Excellent,High,Normal,No,Moderately,Good,5,6.0,Passed
144,144,GP,M,Minor,U,GT3,T,Middle,Primary,other,other,home,mother,<15min,<2h,>3,False,True,False,False,True,True,True,False,Excellent,High,High,No,Moderately,Good,0,1.0,Passed
80,80,GP,M,Minor,U,GT3,T,Middle,Secondary,other,services,course,father,<15min,<2h,No,True,True,True,True,False,True,True,True,Normal,Low,Low,No,Moderately,Normal,2,11.0,Failed
372,372,MS,F,Minor,U,GT3,T,Middle,Middle,other,at_home,home,mother,<15min,5-10h,No,False,False,False,True,True,True,False,True,Normal,High,Normal,No,No,Normal,8,11.0,Failed
318,318,GP,F,Minor,R,GT3,T,Secondary,Higher,at_home,services,course,father,<15min,5-10h,No,False,True,True,True,False,True,True,False,Excellent,Normal,High,Moderately,A lot,Good,0,10.0,Failed
299,299,GP,M,Major,U,LE3,T,Higher,Higher,teacher,teacher,home,mother,<15min,<2h,No,False,True,True,False,True,True,True,True,Bad,High,Low,Moderately,Moderately,Bad,5,15.0,Failed
264,264,GP,F,Major,U,GT3,T,Middle,Middle,at_home,services,home,mother,<15min,5-10h,No,False,True,True,True,True,True,True,True,Excellent,Normal,Normal,No,No,Normal,0,6.0,Passed
91,91,GP,F,Minor,U,GT3,T,Higher,Secondary,services,other,reputation,mother,<15min,<2h,No,False,False,True,True,True,True,True,False,Excellent,High,High,No,Moderately,Bad,4,17.0,Failed
250,250,GP,M,Major,U,GT3,T,Secondary,Middle,services,other,course,mother,15-30min,<2h,1-2,False,False,False,False,True,False,True,False,Excellent,High,High,Moderately,A lot,Good,0,7.0,Passed
290,290,GP,M,Major,U,GT3,T,Higher,Middle,teacher,other,home,mother,<15min,2-5h,No,False,True,True,True,True,True,True,True,Excellent,Normal,Low,No,A lot,Good,11,11.0,Failed
37,37,GP,M,Minor,R,GT3,A,Higher,Higher,other,teacher,reputation,mother,15-30min,5-10h,No,False,True,False,True,True,True,True,True,Bad,High,Normal,No,No,Good,7,15.0,Failed
286,286,GP,F,Major,U,GT3,T,Middle,Middle,at_home,at_home,other,mother,<15min,5-10h,No,False,True,True,False,True,True,True,False,Excellent,Normal,Normal,No,Moderately,Bad,5,18.0,Failed
374,374,MS,F,Major,R,LE3,T,Higher,Higher,other,other,reputation,mother,15-30min,5-10h,No,False,False,False,False,True,True,True,False,Excellent,High,High,No,No,Bad,0,18.0,Failed
12,12,GP,M,Minor,U,LE3,T,Higher,Higher,health,services,course,father,<15min,<2h,No,False,True,True,True,True,True,True,False,Excellent,Normal,Normal,No,Moderately,Good,2,14.0,Failed
99,99,GP,F,Minor,U,GT3,T,Higher,Secondary,other,at_home,course,mother,<15min,5-10h,No,True,True,True,False,True,True,True,False,Excellent,Normal,High,No,No,Normal,0,8.0,Passed
28,28,GP,M,Minor,U,LE3,A,Secondary,Higher,services,other,home,mother,<15min,2-5h,No,True,True,False,True,True,True,True,False,Excellent,Normal,Normal,No,No,Good,4,11.0,Failed
63,63,GP,F,Minor,U,GT3,T,Higher,Secondary,teacher,health,home,mother,<15min,5-10h,No,True,True,True,True,True,True,True,False,Normal,High,High,Moderately,A lot,Good,2,9.0,Passed
103,103,GP,F,Minor,U,GT3,T,Secondary,Middle,services,other,home,mother,15-30min,2-5h,No,True,True,True,False,True,True,True,False,Excellent,Normal,High,No,No,Bad,26,6.0,Passed
68,68,GP,F,Minor,R,LE3,T,Middle,Middle,health,services,reputation,mother,15-30min,2-5h,No,True,True,True,False,True,True,True,False,Excellent,Low,Normal,No,Moderately,Good,2,8.0,Passed
233,233,GP,M,Minor,U,GT3,T,Higher,Higher,health,other,reputation,father,<15min,2-5h,No,False,True,True,True,True,True,True,False,Excellent,Low,High,Moderately,A lot,Bad,2,13.0,Failed
312,312,GP,M,Major,U,GT3,T,Primary,Middle,other,services,course,other,<15min,2-5h,1-2,False,False,False,False,False,True,True,False,Excellent,High,Low,Moderately,Moderately,Good,3,11.0,Failed
199,199,GP,F,Minor,U,LE3,T,Higher,Higher,teacher,teacher,reputation,mother,<15min,2-5h,No,False,True,True,False,True,True,True,False,Excellent,High,Low,No,Moderately,Normal,0,9.0,Passed
48,48,GP,M,Minor,U,GT3,T,Higher,Middle,teacher,other,home,mother,<15min,2-5h,No,False,True,True,False,True,True,False,False,Excellent,Normal,Normal,Moderately,Moderately,Good,2,14.0,Failed
214,214,GP,F,Minor,R,LE3,T,Higher,Higher,services,other,other,mother,<15min,<2h,No,False,True,True,False,True,True,False,False,Excellent,Low,Low,No,Moderately,Normal,12,9.0,Passed
97,97,GP,F,Minor,U,GT3,T,Middle,Primary,other,other,course,mother,<15min,2-5h,No,False,True,True,False,True,True,False,True,Excellent,Normal,High,No,No,Good,2,9.0,Passed
174,174,GP,F,Minor,U,LE3,T,Secondary,Secondary,other,other,reputation,mother,15-30min,2-5h,No,False,True,True,True,True,True,True,False,Excellent,High,High,No,No,Good,4,10.0,Failed
152,152,GP,F,Minor,R,GT3,T,Secondary,Secondary,services,services,reputation,other,15-30min,5-10h,1-2,False,True,True,True,True,True,True,True,Excellent,Low,Low,Moderately,Moderately,Normal,8,10.0,Failed
378,378,MS,F,Major,U,GT3,T,Secondary,Secondary,other,other,home,mother,<15min,2-5h,No,False,False,True,False,True,True,True,True,Excellent,Low,Normal,No,Moderately,Bad,0,15.0,Failed
11,11,GP,F,Minor,U,GT3,T,Middle,Primary,services,other,reputation,father,30min-1h,5-10h,No,False,True,False,True,True,True,True,False,Excellent,Low,Low,No,No,Good,4,11.0,Failed
246,246,GP,M,Minor,U,GT3,T,Middle,Secondary,other,other,course,father,15-30min,<2h,No,False,False,False,False,True,True,True,False,Excellent,Low,Low,No,No,Bad,4,12.0,Failed
345,345,GP,F,Major,U,GT3,T,Secondary,Middle,other,services,other,mother,<15min,5-10h,No,False,False,False,False,True,True,True,True,Excellent,High,Normal,Moderately,Moderately,Bad,7,13.0,Failed
317,317,GP,F,Major,U,GT3,T,Higher,Secondary,other,other,course,mother,<15min,5-10h,No,False,True,True,True,True,True,True,True,Excellent,Normal,High,No,No,Good,9,9.0,Passed
369,369,MS,F,Major,R,GT3,T,Higher,Higher,other,teacher,other,father,30min-1h,2-5h,No,False,True,True,False,False,True,True,True,Normal,Low,Low,A lot,Moderately,Good,10,12.0,Failed
66,66,GP,M,Minor,U,GT3,A,Higher,Higher,other,services,reputation,mother,<15min,>10h,No,False,True,False,True,False,True,True,True,Bad,Normal,Normal,A lot,A lot,Normal,4,12.0,Failed
337,337,GP,F,Minor,U,GT3,T,Secondary,Middle,other,other,home,mother,<15min,2-5h,No,False,True,True,False,True,True,True,True,Excellent,Normal,Low,Moderately,Moderately,Bad,0,5.0,Passed
238,238,GP,F,Minor,R,GT3,T,Middle,Primary,at_home,services,course,mother,30min-1h,2-5h,No,False,False,False,True,True,True,False,False,Bad,Low,Low,No,No,Normal,2,11.0,Failed
338,338,GP,F,Major,U,LE3,T,Secondary,Secondary,services,services,home,mother,<15min,>10h,No,False,True,False,False,True,True,True,False,Excellent,Normal,Normal,No,No,Bad,7,16.0,Failed
132,132,GP,F,Minor,U,LE3,T,Middle,Middle,other,other,course,father,<15min,<2h,No,False,True,False,False,True,True,True,True,Normal,High,High,No,Moderately,Good,12,11.0,Failed
344,344,GP,F,Major,U,GT3,T,Middle,Secondary,at_home,other,course,mother,<15min,5-10h,No,False,True,False,False,True,True,True,False,Excellent,Normal,Normal,No,Moderately,Normal,4,10.0,Failed
359,359,MS,F,Major,U,LE3,T,Primary,Primary,at_home,services,course,father,15-30min,5-10h,No,False,False,False,False,True,True,True,False,Excellent,Normal,Low,No,No,Good,0,16.0,Failed
140,140,GP,M,Minor,U,GT3,T,Higher,Secondary,teacher,services,course,father,15-30min,>10h,No,True,True,False,False,True,True,True,False,Bad,Low,Low,No,No,Normal,0,5.0,Passed
350,350,MS,M,Major,R,GT3,T,Primary,Primary,other,services,home,other,30min-1h,2-5h,>3,False,False,False,False,True,True,True,False,Excellent,High,High,Moderately,Moderately,Bad,8,7.0,Passed
278,278,GP,F,Major,U,GT3,T,Higher,Higher,health,health,reputation,father,<15min,2-5h,1-2,True,True,False,True,True,True,True,True,Bad,High,High,No,No,Good,15,8.0,Passed
104,104,GP,M,Minor,U,GT3,A,Secondary,Higher,services,other,course,mother,<15min,2-5h,No,False,True,True,True,True,True,True,False,Excellent,High,High,No,No,Bad,0,17.0,Failed
315,315,GP,F,Major,R,GT3,T,Middle,Secondary,other,other,reputation,other,<15min,5-10h,1-2,False,False,False,False,True,True,True,True,Excellent,Low,Low,No,No,Normal,40,11.0,Failed
355,355,MS,F,Major,U,GT3,T,Secondary,Secondary,services,services,course,father,<15min,2-5h,No,False,True,False,False,True,True,False,True,Excellent,Normal,High,No,No,Good,0,9.0,Passed
275,275,GP,F,Minor,U,LE3,T,Middle,Middle,services,other,course,mother,15-30min,2-5h,No,True,True,True,False,True,True,True,True,Excellent,High,High,Moderately,Moderately,Good,6,12.0,Failed
124,124,GP,F,Minor,U,GT3,T,Middle,Middle,other,other,home,mother,<15min,2-5h,No,False,False,True,False,True,True,True,True,Excellent,High,High,No,No,Good,0,7.0,Passed
309,309,GP,F,Major,U,LE3,T,Primary,Primary,at_home,other,reputation,other,<15min,2-5h,1-2,True,True,False,True,False,True,True,False,Excellent,High,Normal,No,Moderately,Normal,18,10.0,Failed
230,230,GP,F,Minor,U,LE3,T,Higher,Secondary,health,other,reputation,father,<15min,2-5h,No,False,False,False,True,True,True,True,True,Normal,Low,Normal,No,Moderately,Normal,14,13.0,Failed
32,32,GP,M,Minor,R,GT3,T,Higher,Secondary,teacher,at_home,course,mother,<15min,2-5h,No,False,True,False,True,True,True,True,True,Excellent,High,Low,No,No,Good,0,16.0,Failed
61,61,GP,F,Minor,U,GT3,T,Primary,Primary,services,services,course,father,>1h,<2h,No,True,True,False,True,False,True,True,True,Excellent,High,High,A lot,A lot,Good,6,9.0,Passed
304,304,GP,M,Major,U,GT3,T,Secondary,Secondary,other,other,home,other,<15min,2-5h,1-2,False,True,False,True,True,True,True,True,Excellent,High,High,No,No,Normal,20,14.0,Failed
189,189,GP,M,Minor,R,GT3,T,Primary,Middle,at_home,other,home,mother,<15min,2-5h,No,False,False,False,False,True,True,False,False,Normal,Low,Normal,No,A lot,Normal,4,9.0,Passed
211,211,GP,M,Minor,U,LE3,T,Higher,Higher,services,other,home,mother,<15min,2-5h,No,False,True,True,False,True,True,True,True,Excellent,Normal,High,A lot,A lot,Normal,13,12.0,Failed
43,43,GP,M,Minor,U,GT3,T,Middle,Middle,services,services,course,father,<15min,<2h,No,True,True,False,False,True,True,True,False,Excellent,High,Low,No,No,Bad,0,9.0,Passed
162,162,GP,M,Minor,U,LE3,T,Primary,Middle,other,other,course,mother,15-30min,<2h,1-2,False,False,False,True,True,True,False,False,Excellent,High,High,Moderately,A lot,Good,0,2.0,Passed
254,254,GP,M,Minor,R,GT3,T,Middle,Primary,other,other,course,mother,<15min,<2h,No,False,False,False,False,False,True,True,False,Excellent,High,Low,Moderately,A lot,Good,0,10.0,Failed
373,373,MS,F,Minor,R,GT3,T,Primary,Middle,other,other,course,mother,<15min,<2h,No,False,False,False,True,True,True,True,False,Normal,High,High,No,Moderately,Bad,14,5.0,Passed
171,171,GP,M,Minor,U,GT3,T,Primary,None,other,other,reputation,mother,15-30min,2-5h,No,False,True,True,True,True,True,True,True,Excellent,Normal,Low,No,No,Normal,2,14.0,Failed
283,283,GP,F,Major,U,GT3,T,Primary,Primary,other,other,home,mother,15-30min,2-5h,No,True,False,False,True,True,True,True,False,Excellent,High,High,No,No,Good,4,9.0,Passed
